key,en,sk
dialogue.scarecrow_cornelius.say_scream.text,[shake rate=30.0 level=20]BIRD! BIRD IN THE FIELD! THIS IS A RESTRICTED AREA! LEAVE IMMEDIATELY![/shake],[shake rate=30.0 level=20]VTÁK! VTÁK NA POLI! TOTO JE ZAKÁZANÉ ÚZEMIE! OKAMŽITE ODÍĎ![/shake]
dialogue.scarecrow_cornelius.option_pigeon.label,I'm not a crow,Nie som vrana
dialogue.scarecrow_cornelius.say_pigeon_not_crow.text,"Relax. I'm a pigeon, not a crow. I don't even like crops.","Pokoj. Som holub, nie vrana. Tvoja úroda ma ani nezaujíma."
dialogue.scarecrow_cornelius.say_all_birds.text,"[i]ALL[/i] birds are the enemy! I don't [i]DISCRIMINATE[/i]! Pigeons, crows, sparrows, ducks. [i]ALL OF THEM![/i]","[i]VŠETKY[/i] vtáky sú nepriateľ! Ja [i]NEROZLIŠUJEM[/i]! Holuby, vrany, vrabce, kačice. [i]VŠETKY![/i]"
dialogue.scarecrow_cornelius.option_peace.label,I come in peace,Prichádzam v mieri
dialogue.scarecrow_cornelius.say_pigeon_peace.text,Easy there. I come in peace. Not here for your crops.,Pokoj. Prichádzam v mieri. Nie som tu kvôli tvojej úrode.
dialogue.scarecrow_cornelius.say_sparrow.text,That's [i]EXACTLY[/i] what the last sparrow said! And then he ate a seed! [shake rate=30.0 level=20]A SEED![/shake] Right in front of me!,"Presne [i]TO[/i] povedal aj ten posledný vrabec! A potom zjedol semienko! [shake rate=30.0 level=20]SEMIENKO![/shake] Priamo predo mnou!"
dialogue.scarecrow_cornelius.say_calm.text,Fine. [i]FINE.[/i] You can stay. But I'm [i]WATCHING[/i] you. Don't touch the wheat.,Dobre. [i]DOBRE.[/i] Môžeš zostať. Ale [i]SLEDUJEM[/i] ťa. Nedotýkaj sa pšenice.
dialogue.scarecrow_cornelius.say_pigeon_ok.text,Wouldn't dream of it.,To by mi ani nenapadlo.
achievement.feathered_prophet.title,The Feathered Prophet,Operený prorok
achievement.feathered_prophet.hint,Receive a divine calling.,Prijmi božie povolanie.
achievement.sir_pigeon.title,Sir Pigeon of the Puddle,Sir Holub z Mláky
achievement.sir_pigeon.hint,Earn a noble title.,Získaj vznešený titul.
achievement.prophet_and_knight.title,Prophet and Knight,Prorok a rytier
achievement.prophet_and_knight.hint,Be both holy and noble.,Buď svätý aj urodzený.
achievement.great_haunting.title,The Great Haunting,Veľké strašenie
achievement.great_haunting.hint,Spread a spooky rumor.,Rozšír strašidelnú fámu.
achievement.unlikely_friends.title,Unlikely Friends,Nepravdepodobní priatelia
achievement.unlikely_friends.hint,Befriend someone lonely.,Spriateľ sa s niekým osamelým.
